,date,lat,long,pano_id,name,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg
16514,2011-08,43.07666632272361,-88.04310142929188,bWCYyX4TreqfD5o2xbf8Tg,7461,86.479996,150.81,1.9499999
16515,2018-11,43.074929,-88.0431421,q5Cn5S1EZKe04R4IG72NeQ,7462,268.75,-93.82,0.91999996
16516,2018-10,43.113919,-87.99735559999999,rpxwQ8Lq7xii_fSY2AA43A,7463,231.68,-32.68,1.52
16517,2018-10,43.11509139168474,-87.9978397302001,TjZAWZZLXteRqW8mswNLzA,7464,191.09999,99.1,1.31
16518,2018-10,43.11307633438813,-87.99730704088967,DYeF3DSsBs09BpLwmVR19w,7465,180.47,-99.47,0.35999998
16519,2015-10,43.1099553987121,-87.99737451105726,wZA2wrA8POB3xon9mESgbw,7466,273.19998,-70.06,0.59
16520,2015-10,43.1082083,-87.9976113,6kjxj8J5aQ4W3UfdXKMNzQ,7467,286.07,-58.41,1.5799999
16521,2018-08,43.11217382266484,-87.99729448773351,qrE8a3natDL9vnPkro13tg,7468,200.73,107.86,1.26
16522,2015-07,43.126690277432395,-87.98942529244287,l7Ac_ekTBuHZQlhCfy2duw,7469,220.29999,96.9,0.83
16523,2019-06,42.857043060637906,-87.8674676893499,52DX8WfhDtL-DpZaePkEOA,747,90.7,13.07,1.4
16524,2015-10,43.1230475,-87.9895543,wAsXeO6YSA0e9TPiwySMnA,7470,90.479996,30.66,2.35
16525,2015-10,43.1248595,-87.9894919,TLgWZSV5uQvvrFggWag31Q,7471,272.3,-129.97,0.39
16526,2015-10,43.1280766,-87.98943829999999,7bYiz2g5gQGwyTAeqMga8A,7472,270.86,-147.94,0.75
16527,2018-08,43.0972532,-87.9830147,cV9Gkr4ywbaYy583L63CQQ,7473,271.66998,-106.61,0.32
16528,2015-10,43.0991781877726,-87.98302186153047,Xgb3tGDlLwAr56-HEsqw7w,7474,269.71,-176.33,2.6299999
16529,2018-07,43.09991896150657,-87.98297817114882,4xRYe8p6WCB-UZ3hRbuPYw,7475,117.32,117.07,1.4699999
16530,2018-08,43.09723966356453,-87.98061003284947,S6qI6pquGFBHN2oBwq8hNA,7476,271.84,-41.309998,1.29
16531,2018-07,43.09958644923844,-87.98059260104407,Sb2WtjNlF4t-TiJ4OzWuzA,7477,90.229996,70.159996,1.43
16532,2015-10,43.10321689317179,-87.97800101725973,_2W6m72R5OL2VrFGpjO0pA,7478,160.56999,124.619995,0.93
16533,2015-10,43.10087588597328,-87.97796201976195,xKrFxOBry-f2sJjSW_4FLQ,7479,268.87,-128.48999,1.3299999
